"bedrock","zs","zb","depth","height","velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
-143.98,0,0,1088.3,1330.2,106.68,-0.50882,0,8.3235e+05,1186.2,0
-154.46,0,0,1070.1,1307.9,109.77,-0.52754,0,8.4245e+05,1153.4,0
-164.55,0,0,1051.8,1285.6,112.91,-0.54719,0,8.5217e+05,1121,0
-174.26,0,0,1033.7,1263.4,116.1,-0.56783,0,8.6153e+05,1089.1,0
-183.62,0,0,1015.6,1241.3,119.35,-0.58954,0,8.7054e+05,1057.7,0
-192.62,0,0,997.55,1219.2,122.67,-0.6124,0,8.7921e+05,1026.6,0
-201.29,0,0,979.58,1197.3,126.04,-0.63648,0,8.8756e+05,995.98,0
-209.64,0,0,961.68,1175.4,129.5,-0.66189,0,8.9561e+05,965.75,0
-217.68,0,0,943.83,1153.6,133.02,-0.68873,0,9.0335e+05,935.9,0
-225.41,0,0,926.05,1131.8,136.63,-0.71711,0,9.108e+05,906.43,0
-232.86,0,0,908.32,1110.2,140.33,-0.74715,0,9.1798e+05,877.31,0
-240.04,0,0,890.65,1088.6,144.12,-0.77901,0,9.2489e+05,848.54,0
-246.94,0,0,873.03,1067,148.02,-0.81283,0,9.3154e+05,820.09,0
-253.59,0,0,855.45,1045.6,152.03,-0.84879,0,9.3795e+05,791.96,0
-259.99,0,0,837.92,1024.1,156.16,-0.88708,0,9.4412e+05,764.13,0
-266.16,0,0,820.42,1002.7,160.41,-0.92792,0,9.5005e+05,736.58,0
-272.09,0,0,802.96,981.39,164.81,-0.97157,0,9.5577e+05,709.3,0
-277.8,0,0,785.51,960.07,169.36,-1.0183,0,9.6127e+05,682.27,0
-283.3,0,0,768.09,938.78,174.07,-1.0684,0,9.6657e+05,655.47,0
-288.6,0,0,750.67,917.49,178.96,-1.1223,0,9.7167e+05,628.89,0
-293.7,0,0,733.26,896.2,184.05,-1.1804,0,9.7659e+05,602.51,0
-298.61,0,0,715.83,874.9,189.35,-1.2431,0,9.8132e+05,576.3,0
-303.33,0,0,698.38,853.58,194.89,-1.311,0,9.8587e+05,550.25,0
-307.88,0,0,680.9,832.21,200.68,-1.3848,0,9.9025e+05,524.33,0
-312.26,0,0,663.37,810.78,206.76,-1.4653,0,9.9447e+05,498.52,0
-316.48,0,0,645.78,789.28,213.15,-1.5532,0,9.9854e+05,472.8,0
-320.54,0,0,628.1,767.68,219.9,-1.6498,0,1.0024e+06,447.13,0
-324.45,0,0,610.32,745.95,227.04,-1.756,0,1.0062e+06,421.5,0
-328.22,0,0,592.42,724.07,234.62,-1.8741,0,1.0098e+06,395.85,0
-331.84,0,0,574.37,702.01,242.7,-2.0048,0,1.0133e+06,370.17,0
-335.33,0,0,556.14,679.72,251.36,-2.1522,0,1.0167e+06,344.39,0
-338.69,0,0,537.7,657.19,260.67,-2.3164,0,1.0199e+06,318.5,0
-341.93,0,0,519,634.33,270.73,-2.5056,0,1.023e+06,292.41,0
-345.04,0,0,500.02,611.13,281.7,-2.717,0,1.0261e+06,266.09,0
-348.04,0,0,480.66,587.47,293.68,-2.9693,0,1.0289e+06,239.43,0
-350.93,0,0,460.91,563.34,306.95,-3.2499,0,1.0317e+06,212.41,0
-353.7,0,0,440.61,538.53,321.69,-3.6046,0,1.0344e+06,184.82,0
-356.38,0,0,419.79,513.08,338.38,-3.9903,0,1.037e+06,156.7,0
-358.96,0,0,398.12,486.59,357.28,-4.5297,0,1.0395e+06,127.63,0
-361.44,0,0,375.75,459.25,379.46,-5.0831,0,1.0418e+06,97.813,0
-363.83,0,0,351.95,430.16,405.26,-6.0035,0,1.0441e+06,66.329,0
-366.13,0,0,327.23,399.95,437.39,-6.8547,0,1.0464e+06,33.825,0
